item_name,description,category,price,colour,shop_name,new_category
sepatu sneakers,sepatu sneakers adalah pilihan yang sempurna untuk gaya kasual anda. didesain dengan detail modern dan kenyamanan maksimal.,sepatu,100000,putih,home essentials,sepatu
tas ransel stylish,tas ransel stylish memberikan gaya dan fungsi yang sempurna. terbuat dari bahan berkualitas dan dilengkapi dengan banyak kantong.,tas,200000,merah,sports world,tas
kemeja flanel modern,kemeja flanel modern memberikan tampilan yang trendy dan nyaman. cocok untuk berbagai kesempatan dan mudah dipadukan.,kemeja,150000,hijau,gourmet delights,pakaian
celana jeans slim fit,celana jeans slim fit adalah pilihan yang tepat untuk penampilan yang kasual namun tetap stylish. terbuat dari bahan denim berkualitas.,celana,250000,biru,gadget hub,pakaian
topi fedora elegan,topi fedora elegan memberikan sentuhan klasik yang tak lekang oleh waktu. cocok untuk melengkapi gaya retro atau modern.,topi,50000,abu-abu,gourmet delights,jam & aksesoris
kacamata retro vintage,kacamata retro vintage menambahkan gaya yang unik dan klasik pada penampilan anda. terbuat dari bahan berkualitas tinggi.,kacamata,80000,cokelat,outdoor gear,jam & aksesoris
jam tangan mewah,jam tangan mewah adalah aksesori yang sempurna untuk menunjukkan keanggunan dan kecanggihan. didesain dengan detail yang memukau.,jam tangan,300000,emas,home essentials,jam & aksesoris
dompet kulit asli,dompet kulit asli memberikan gaya dan fungsi yang tak tertandingi. terbuat dari kulit asli berkualitas tinggi.,dompet,70000,cokelat,toy universe,jam & aksesoris
perhiasan emas murni,perhiasan emas murni adalah simbol kemewahan dan keindahan. terbuat dari emas murni dengan desain yang elegan.,perhiasan,500000,emas,fashion outlet,jam & aksesoris
parfum wangi floral,parfum wangi floral memberikan aroma yang segar dan feminin. diciptakan dengan komposisi bunga-bungaan yang indah.,parfum,120000,merah,shoe emporium,jam & aksesoris
gelang fashion trendy,gelang fashion trendy memberikan sentuhan gaya yang modern dan berkelas pada pergelangan tangan anda. didesain dengan detail yang menarik.,gelang,90000,hitam,fashion house,jam & aksesoris
baju renang sporty,baju renang sporty memberikan kenyamanan dan gaya yang tak terbantahkan di kolam renang. terbuat dari bahan berkualitas dan tahan lama.,baju renang,60000,biru,fashion outlet,pakaian
topi baseball classic,topi baseball classic adalah aksesori yang sempurna untuk melengkapi penampilan santai anda. terbuat dari bahan berkualitas dan nyaman dipakai.,topi,40000,merah,music gallery,jam & aksesoris
kacamata hitam stylish,kacamata hitam stylish memberikan perlindungan mata yang maksimal sambil tetap tampil modis. didesain dengan gaya yang trendy.,kacamata,70000,hitam,outdoor gear,jam & aksesoris
jam dinding klasik vintage,jam dinding klasik vintage memberikan sentuhan retro yang elegan pada ruangan anda. didesain dengan detail yang memukau.,jam dinding,200000,kuning,health corner,jam & aksesoris
tas selempang chic,tas selempang chic memberikan kenyamanan dan gaya yang tak tertandingi. didesain dengan kompartemen yang cukup luas untuk keperluan sehari-hari.,tas,150000,cokelat,kids kingdom,tas
celana panjang casual,celana panjang casual adalah pilihan yang nyaman dan stylish untuk berbagai kesempatan. terbuat dari bahan berkualitas dan mudah dipadukan.,celana,80000,abu-abu,pet shop,pakaian
kaos polos basic,kaos polos basic adalah item yang wajib dimiliki dalam koleksi pakaian anda. cocok untuk gaya santai atau bisa juga dipadukan dengan aksesori.,kaos,30000,putih,sports world,pakaian
baju koko modern,baju koko modern memberikan tampilan yang elegan dan klasik. cocok untuk berbagai kesempatan formal.,baju koko,100000,hijau,tech zone,pakaian
sepatu formal elegan,sepatu formal elegan memberikan tampilan yang anggun dan berkelas pada setiap acara formal. didesain dengan detail yang sempurna.,sepatu,180000,hitam,food paradise,sepatu
tas makeup portable,tas makeup portable memudahkan anda membawa dan menyimpan berbagai perlengkapan makeup dengan praktis. didesain dengan kompartemen yang fungsional.,tas makeup,300000,merah,outdoor gear,tas
jas pria slim fit,jas pria slim fit memberikan tampilan yang modern dan berkelas pada setiap acara formal. didesain dengan detail yang elegan.,jas,250000,biru,kids kingdom,pakaian
kalung mutiara mewah,kalung mutiara mewah adalah aksesori yang mewah dan mempesona. terbuat dari mutiara asli dengan desain yang elegan.,kalung,350000,putih,food paradise,jam & aksesoris
pashmina syar'i terbaru,pashmina syar'i terbaru memberikan gaya yang modis dan elegan untuk penampilan hijab anda. terbuat dari bahan yang nyaman dan mudah diatur.,pashmina,150000,merah,fashion house,jam & aksesoris
topi trucker trendy,topi trucker trendy menambahkan sentuhan gaya yang sporty pada penampilan anda. cocok untuk gaya kasual atau acara santai.,topi,60000,abu-abu,jewelry emporium,jam & aksesoris
dompet kartu minimalis,dompet kartu minimalis memberikan kemudahan dan gaya yang minimalis. terbuat dari bahan berkualitas tinggi.,dompet kartu,50000,hitam,outdoor gear,jam & aksesoris
anting emas cantik,anting emas cantik memberikan sentuhan feminin dan elegan pada penampilan anda. terbuat dari emas dengan desain yang indah.,anting,90000,emas,gift emporium,jam & aksesoris
lipstik matte long-lasting,lipstik matte long-lasting memberikan hasil akhir matte yang tahan lama. dapat memberikan sentuhan warna yang intens dan merona.,lipstik,40000,merah,home essentials,jam & aksesoris
sepatu high heels glamor,sepatu high heels glamor memberikan ketinggian dan gaya yang anggun pada penampilan anda. didesain dengan detail yang memikat.,sepatu,50000,emas,gourmet delights,sepatu
jaket kulit stylish,jaket kulit stylish memberikan gaya yang cool dan trendi. terbuat dari kulit berkualitas tinggi dengan desain yang modern.,jaket,120000,cokelat,music gallery,pakaian
kemeja batik klasik,kemeja batik klasik memberikan tampilan yang khas dan berkelas. cocok untuk acara formal atau non-formal.,kemeja,200000,biru,gift emporium,pakaian
celana pendek denim,celana pendek denim memberikan gaya yang santai dan nyaman untuk cuaca hangat. terbuat dari bahan denim berkualitas tinggi.,celana,180000,biru,food paradise,pakaian
kaos sablon casual,kaos sablon casual memberikan gaya yang santai dan trendy untuk penampilan sehari-hari. didesain dengan motif yang menarik.,kaos,250000,putih,book haven,pakaian
tas laptop stylish,tas laptop stylish memberikan perlindungan dan gaya yang maksimal untuk laptop anda. terbuat dari bahan berkualitas dan dilengkapi dengan kompartemen yang aman.,tas laptop,80000,hitam,tech zone,tas
blazer wanita modern,blazer wanita modern memberikan tampilan yang profesional dan stylish. cocok untuk acara formal atau non-formal.,blazer,150000,merah,beauty boutique,pakaian
gelang berlian mewah,gelang berlian mewah memberikan kemewahan dan kilau yang mempesona. terbuat dari berlian asli dengan desain yang indah.,gelang,70000,merah,shoe emporium,jam & aksesoris
parfum pria maskulin,parfum pria maskulin memberikan aroma yang maskulin dan elegan. diciptakan dengan komposisi yang khas untuk pria modern.,parfum,90000,perak,gadget hub,jam & aksesoris
tas pesta glamor,tas pesta glamor memberikan gaya yang mewah dan glamor pada setiap acara pesta. didesain dengan detail yang memukau.,tas pesta,60000,hitam,home decor,tas
kalung choker trendy,kalung choker trendy memberikan sentuhan gaya yang edgy dan modern pada leher anda. cocok untuk melengkapi penampilan fashion-forward.,kalung,100000,emas,tech zone,jam & aksesoris
pashmina rajut stylish,pashmina rajut stylish memberikan gaya yang modis dan cozy pada penampilan hijab anda. terbuat dari bahan rajut berkualitas.,pashmina,40000,hitam,wellness center,jam & aksesoris
